GeneSymbol	infected_vs_uninfected	infected_vs_uninfected_6mice
Cfap54	n.s.	n.s.
Cfap58	n.s.	n.s.
Cfap69	n.s.	n.s.
Cfap73	n.s.	n.s.
Cfap74	n.s.	n.s.
Cfap77	n.s.	n.s.
Cfap97	n.s.	n.s.
Cfb	n.s.	n.s.
Cfd	n.s.	n.s.
Cfdp1	n.s.	n.s.
Cfh	n.s.	n.s.
Cfi	n.s.	n.s.
Cfl1	n.s.	n.s.
Cfl2	n.s.	n.s.
Cflar	n.s.	n.s.
Cfp	n.s.	n.s.
Cftr	n.s.	n.s.
Cggbp1	n.s.	n.s.
Cgn	n.s.	n.s.
Cgnl1	n.s.	n.s.
Cgref1	n.s.	n.s.
Cgrrf1	n.s.	n.s.
Ch25h	n.s.	n.s.
Chac1	n.s.	n.s.
Chac2	n.s.	n.s.
Chad	n.s.	n.s.
Chadl	n.s.	n.s.
Chaf1a	n.s.	n.s.
Chaf1b	n.s.	n.s.
Champ1	n.s.	n.s.
Chchd1	n.s.	n.s.
Chchd10	n.s.	n.s.
Chchd2,Chchd2-ps	n.s.	n.s.
Chchd3	n.s.	n.s.
Chchd4	n.s.	n.s.
Chchd5	n.s.	n.s.
Chchd6	n.s.	n.s.
Chchd7	n.s.	n.s.
Chd1,Riok2	n.s.	n.s.
Chd1l	n.s.	n.s.
Chd2	n.s.	n.s.
Chd3	n.s.	n.s.
Chd3os	n.s.	n.s.
Chd4	n.s.	n.s.
Chd5	n.s.	n.s.
Chd6	n.s.	n.s.
Chd7	n.s.	n.s.
Chd8	n.s.	n.s.
Chd9	n.s.	n.s.
Chdh	n.s.	n.s.
Chek1	n.s.	n.s.
Chek2	n.s.	n.s.
Cherp	n.s.	n.s.
Chfr	n.s.	n.s.
Chga	n.s.	n.s.
Chgb	n.s.	n.s.
Chia1	Down	Down
Chic1	n.s.	n.s.
Chic2	n.s.	n.s.
Chid1	n.s.	n.s.
Chil4	n.s.	n.s.
Chit1	n.s.	n.s.
Chka	n.s.	n.s.
Chkb,Gm44502	n.s.	n.s.
Chl1	n.s.	n.s.
Chm	n.s.	n.s.
Chml	n.s.	n.s.
Chmp1a	n.s.	n.s.
Chmp2a	n.s.	n.s.
Chmp2b	n.s.	n.s.
Chmp3	n.s.	n.s.
Chmp4b	n.s.	n.s.
Chmp4c	n.s.	n.s.
Chmp5	n.s.	n.s.
Chmp6	n.s.	n.s.
Chmp7	n.s.	n.s.
Chn1	n.s.	n.s.
Chn1os3	n.s.	n.s.
Chn2	n.s.	n.s.
Chodl	n.s.	n.s.
Chordc1	n.s.	n.s.
Chp1	n.s.	n.s.
Chp2	n.s.	n.s.
Chpf	n.s.	n.s.
Chpf2	n.s.	n.s.
Chpt1	n.s.	n.s.
Chrac1	n.s.	n.s.
Chrd	n.s.	n.s.
Chrdl1	n.s.	Up
Chrdl2	n.s.	n.s.
Chrm1	n.s.	n.s.
Chrm2	n.s.	n.s.
Chrm3	n.s.	n.s.
Chrm4	n.s.	n.s.
Chrna2	n.s.	n.s.
Chrna3	n.s.	n.s.
Chrna4	n.s.	n.s.
Chrna7	n.s.	n.s.
Chrnb1	n.s.	n.s.
Chrnb2	n.s.	n.s.
Chrne	n.s.	n.s.
Chst1	n.s.	n.s.
Chst10	n.s.	n.s.
Chst11	n.s.	n.s.
Chst12	n.s.	n.s.
Chst13	n.s.	n.s.
Chst14	n.s.	n.s.
Chst15,Gm19463	n.s.	n.s.
Chst2	n.s.	n.s.
Chst3	n.s.	n.s.
Chst4	n.s.	n.s.
Chst7	n.s.	n.s.
Chst8	n.s.	n.s.
Chst9	n.s.	n.s.
Chsy1	n.s.	n.s.
Chsy3	n.s.	n.s.
Chtf18	n.s.	n.s.
Chtf8	n.s.	n.s.
Chtop	n.s.	n.s.
Chuk	n.s.	n.s.
Churc1	n.s.	n.s.
Ciao1	n.s.	n.s.
Ciapin1	n.s.	n.s.
Ciart	n.s.	n.s.
Cib1	n.s.	n.s.
Cib2	n.s.	n.s.
Cib3	n.s.	n.s.
Cic	n.s.	n.s.
Cidea	n.s.	n.s.
Cideb	n.s.	n.s.
Cidec	n.s.	n.s.
Ciita	n.s.	n.s.
Cilp	n.s.	n.s.
Cilp2	n.s.	n.s.
Cinp	n.s.	n.s.
Cipc	n.s.	n.s.
Cir1	n.s.	n.s.
Cirbp	n.s.	n.s.
Cisd1	n.s.	n.s.
Cisd2	n.s.	n.s.
Cisd3,Cisd3b	n.s.	n.s.
Cish	n.s.	n.s.
Cit	n.s.	n.s.
Cited1	n.s.	n.s.
Cited2	n.s.	n.s.
Cited4	n.s.	n.s.
Ciz1	n.s.	n.s.
Ckap2	n.s.	n.s.
Ckap2l	n.s.	n.s.
Ckap4	n.s.	n.s.
Ckap5	n.s.	n.s.
Ckb	n.s.	n.s.
Cklf	n.s.	n.s.
Ckm	n.s.	n.s.
Ckmt1	n.s.	n.s.
Cks1b	n.s.	n.s.
Cks2	n.s.	n.s.
Clasp1	n.s.	n.s.
Clasp2	n.s.	n.s.
Clasrp	n.s.	n.s.
Clca1	n.s.	n.s.
Clca2	n.s.	n.s.
Clcc1	n.s.	n.s.
Clcf1	n.s.	n.s.
Clcn1	n.s.	n.s.
Clcn2	n.s.	n.s.
Clcn3	n.s.	n.s.
Clcn4	n.s.	n.s.
Clcn5	n.s.	n.s.
Clcn6	n.s.	n.s.
Clcn7	n.s.	n.s.
Cldn1	n.s.	n.s.
Cldn10	n.s.	n.s.
Cldn11	n.s.	n.s.
Cldn12	n.s.	n.s.
Cldn15	n.s.	n.s.
Cldn18	n.s.	n.s.
Cldn2	n.s.	n.s.
Cldn22	n.s.	n.s.
Cldn23	n.s.	n.s.
Cldn34c1	n.s.	n.s.
Cldn4	n.s.	n.s.
Cldn5	n.s.	n.s.
Cldn7	n.s.	n.s.
Cldn8	n.s.	n.s.
Cldnd1	n.s.	n.s.
Clec10a	n.s.	n.s.
Clec11a	n.s.	n.s.
Clec12a	n.s.	n.s.
Clec14a	n.s.	n.s.
Clec16a	n.s.	n.s.
Clec1a	n.s.	n.s.
Clec2d	n.s.	n.s.
Clec2i	n.s.	n.s.
Clec3b	n.s.	n.s.
Clec4a1	n.s.	n.s.
Clec4a2	n.s.	n.s.
Clec4a3	n.s.	n.s.
Clec4n	n.s.	n.s.
Clec5a	n.s.	n.s.
Clec9a	n.s.	n.s.
Clic1	n.s.	n.s.
Clic3	n.s.	n.s.
Clic4	n.s.	n.s.
Clic5	n.s.	n.s.
Clic6	n.s.	n.s.
Clint1	n.s.	n.s.
Clip1	n.s.	n.s.
Clip2	n.s.	n.s.
Clip3	n.s.	n.s.
Clip4	n.s.	n.s.
Clk1	n.s.	n.s.
Clk2	n.s.	n.s.
Clk3	n.s.	n.s.
Clk4	n.s.	n.s.
Clmn	n.s.	n.s.
Clmp	n.s.	n.s.
Cln3	n.s.	n.s.
Cln5	n.s.	n.s.
Cln6	n.s.	n.s.
Cln8	n.s.	n.s.
Clns1a	n.s.	Down
Clock	n.s.	n.s.
Clp1	n.s.	n.s.
Clpb	n.s.	n.s.
Clpp	n.s.	n.s.
Clps	Down	Down
Clptm1	n.s.	n.s.
Clptm1l	n.s.	n.s.
Clpx	n.s.	n.s.
Clspn	n.s.	n.s.
Clstn1	n.s.	n.s.
Clstn2	n.s.	n.s.
Clstn3	n.s.	n.s.
Clta	n.s.	n.s.
Cltb	n.s.	n.s.
Cltc	n.s.	n.s.
Clu	n.s.	n.s.
Cluap1	n.s.	n.s.
Cluh	n.s.	n.s.
Clvs1	n.s.	n.s.
Clvs2	n.s.	n.s.
Clybl	n.s.	n.s.
Cma1	n.s.	n.s.
Cmah	n.s.	n.s.
Cmas	n.s.	n.s.
Cmbl	n.s.	n.s.
Cmc1	n.s.	n.s.
Cmc2	n.s.	n.s.
Cmip	n.s.	n.s.
Cmklr1	n.s.	n.s.
Cmpk1	n.s.	n.s.
Cmpk2	n.s.	n.s.
Cmss1	n.s.	n.s.
Cmtm3	n.s.	n.s.
Cmtm4	n.s.	n.s.
Cmtm6	n.s.	n.s.
Cmtm7	n.s.	n.s.
Cmtm8	n.s.	n.s.
Cmtr1	n.s.	n.s.
Cmtr2	n.s.	n.s.
Cmya5	n.s.	n.s.
Cnbd2	n.s.	n.s.
Cnbp	n.s.	n.s.
Cndp1	n.s.	n.s.
Cndp2	n.s.	n.s.
Cnep1r1	n.s.	n.s.
Cnga4	n.s.	n.s.
Cnih1	n.s.	n.s.
Cnih2	n.s.	n.s.
Cnih4	n.s.	n.s.
Cnksr1	n.s.	n.s.
Cnksr3	n.s.	n.s.
Cnmd	n.s.	n.s.
Cnn1	n.s.	n.s.
Cnn2	n.s.	n.s.
Cnn3	n.s.	n.s.
Cnnm1	n.s.	n.s.
Cnnm2	n.s.	n.s.
Cnnm3	n.s.	n.s.
Cnnm4	n.s.	n.s.
Cnot1	n.s.	n.s.
Cnot10	n.s.	n.s.
Cnot11	n.s.	n.s.
Cnot2	n.s.	n.s.
Cnot3	n.s.	n.s.
Cnot4	n.s.	n.s.
Cnot6	n.s.	n.s.
Cnot6l	n.s.	n.s.
Cnot7	n.s.	n.s.
Cnot8	n.s.	n.s.
Cnot9	n.s.	n.s.
Cnp	n.s.	n.s.
Cnppd1	n.s.	n.s.
Cnpy2	n.s.	n.s.
Cnpy3	n.s.	n.s.
Cnpy4	n.s.	n.s.
Cnrip1	n.s.	n.s.
Cnst	n.s.	n.s.
Cntd1	n.s.	n.s.
Cntfr	n.s.	n.s.
Cntln	n.s.	n.s.
Cntn2	n.s.	n.s.
Cntn3	n.s.	n.s.
Cntnap1	n.s.	n.s.
Cntnap4	n.s.	n.s.
Cntnap5a	n.s.	n.s.
Cntrl	n.s.	n.s.
Cntrob	n.s.	n.s.
Coa3	n.s.	n.s.
Coa5	n.s.	n.s.
Coa6	n.s.	n.s.
Coa7	n.s.	n.s.
Coasy	n.s.	n.s.
Cobl	n.s.	n.s.
Cobll1	n.s.	n.s.
Cog1	n.s.	n.s.
Cog2	n.s.	n.s.
Cog3	n.s.	n.s.
Cog4	n.s.	n.s.
Cog5	n.s.	n.s.
Cog6	n.s.	n.s.
Cog7	n.s.	n.s.
Cog8	n.s.	n.s.
Coil	n.s.	n.s.
Col10a1	n.s.	n.s.
Col11a2	n.s.	n.s.
Col12a1	n.s.	n.s.
Col13a1	n.s.	n.s.
Col14a1	n.s.	n.s.
Col15a1	n.s.	n.s.
Col16a1	n.s.	n.s.
Col17a1	n.s.	n.s.
Col18a1	n.s.	n.s.
Col19a1	n.s.	n.s.
Col1a1	n.s.	Down
Col1a2	n.s.	Down
Col20a1	n.s.	n.s.
Col22a1	n.s.	n.s.
Col23a1	n.s.	n.s.
Col24a1	n.s.	n.s.
Col25a1	n.s.	n.s.
Col26a1	n.s.	n.s.
Col27a1	n.s.	n.s.
Col28a1	n.s.	n.s.
Col3a1	n.s.	n.s.
Col4a1	n.s.	n.s.
Col4a2	n.s.	n.s.
Col4a3	n.s.	n.s.
Col4a3bp	n.s.	n.s.
Col4a4	n.s.	n.s.
Col4a5	n.s.	Down
Col4a6	n.s.	n.s.
Col5a1	n.s.	n.s.
Col5a2	n.s.	n.s.
Col5a3	n.s.	n.s.
Col6a1	n.s.	n.s.
Col6a2	n.s.	Down
Col6a3	n.s.	n.s.
Col6a4	n.s.	n.s.
Col6a5	n.s.	n.s.
Col6a6	n.s.	n.s.
Col7a1	n.s.	n.s.
Col8a1	n.s.	n.s.
Col9a2	n.s.	n.s.
Col9a3	n.s.	n.s.
Colca2	n.s.	n.s.
Colec10	n.s.	n.s.
Colec11	n.s.	n.s.
Colec12	n.s.	n.s.
Colgalt1	n.s.	n.s.
Colgalt2	n.s.	n.s.
Colq	n.s.	n.s.
Commd1	n.s.	n.s.
Commd10	n.s.	n.s.
Commd2	n.s.	n.s.
Commd3	n.s.	n.s.
Commd4	n.s.	n.s.
Commd5	n.s.	n.s.
Commd6	n.s.	n.s.
Commd7	n.s.	n.s.
Commd8	n.s.	n.s.
Commd9	n.s.	n.s.
Comt	n.s.	n.s.
Comtd1	n.s.	n.s.
Copa	n.s.	n.s.
Copb1	n.s.	n.s.
Copb2	n.s.	n.s.
Cope	n.s.	n.s.
Copg1	n.s.	n.s.
Copg2	n.s.	n.s.
Coprs	n.s.	n.s.
Cops2	n.s.	n.s.
Cops3	n.s.	n.s.
Cops4	n.s.	n.s.
Cops5	n.s.	n.s.
Cops6	n.s.	n.s.
Cops7a	n.s.	n.s.
Cops7b	n.s.	n.s.
Cops8	n.s.	n.s.
Cops9	n.s.	n.s.
Copz1	n.s.	n.s.
Copz2	n.s.	n.s.
Coq10a	n.s.	n.s.
Coq10b	n.s.	n.s.
Coq2	n.s.	n.s.
Coq3	n.s.	n.s.
Coq4	n.s.	n.s.
Coq5	n.s.	n.s.
Coq6	n.s.	n.s.
Coq7	n.s.	n.s.
Coq8a	n.s.	n.s.
Coq8b	n.s.	n.s.
Coq9	n.s.	n.s.
Corin	n.s.	n.s.
Coro1a	n.s.	n.s.
Coro1b	n.s.	n.s.
Coro1c	n.s.	n.s.
Coro2a	n.s.	n.s.
Coro2b	n.s.	n.s.
Coro6	n.s.	n.s.
Coro7	n.s.	n.s.
Cotl1	n.s.	n.s.
COX1	n.s.	n.s.
Cox10	n.s.	n.s.
Cox11	n.s.	n.s.
Cox14	n.s.	n.s.
Cox15	n.s.	n.s.
Cox16	n.s.	n.s.
Cox18	n.s.	n.s.
Cox19	n.s.	n.s.
Cox20	n.s.	n.s.
Cox4i1	n.s.	n.s.
Cox4i2	n.s.	n.s.
Cox5a	n.s.	n.s.
Cox5b	n.s.	n.s.
Cox6a1	n.s.	n.s.
Cox6b1	n.s.	n.s.
Cox6b2	n.s.	n.s.
Cox6c	n.s.	n.s.
Cox7a1	n.s.	n.s.
Cox7a2	n.s.	n.s.
Cox7a2l	n.s.	n.s.
Cox7b	n.s.	n.s.
Cox7c	n.s.	n.s.
Cox8a	n.s.	n.s.
Cox8b	n.s.	n.s.
Cp	n.s.	n.s.
Cpa2	n.s.	n.s.
Cpa3	n.s.	n.s.
Cpa6	n.s.	n.s.
Cpb1	n.s.	n.s.
Cpd	n.s.	n.s.
Cpe	n.s.	n.s.
Cpeb1	n.s.	n.s.
Cpeb2	n.s.	n.s.
Cpeb3	n.s.	n.s.
Cpeb4	n.s.	n.s.
Cped1	n.s.	n.s.
Cplx2	n.s.	n.s.
Cpm	n.s.	n.s.
Cpn1	n.s.	n.s.
Cpn2	n.s.	n.s.
Cpne2	n.s.	n.s.
Cpne3	n.s.	n.s.
Cpne5	n.s.	n.s.
Cpne8	n.s.	n.s.
Cpne9	n.s.	n.s.
Cpox	n.s.	n.s.
Cpped1	n.s.	n.s.
Cpq	n.s.	n.s.
Cpsf1	n.s.	n.s.
Cpsf2	n.s.	n.s.
Cpsf3	n.s.	n.s.
Cpsf4	n.s.	n.s.
Cpsf4l	n.s.	n.s.
Cpsf6	n.s.	n.s.
Cpsf7	n.s.	n.s.
Cpt1a	n.s.	n.s.
Cpt1c	n.s.	n.s.
Cpt2	n.s.	n.s.
Cptp	n.s.	n.s.
Cpxm1	n.s.	n.s.
Cpxm2	n.s.	n.s.
Cpz	n.s.	n.s.
Cr1l	n.s.	n.s.
Cr2	n.s.	n.s.
Cracr2a	n.s.	n.s.
Cracr2b	n.s.	n.s.
Cradd	n.s.	n.s.
Cramp1l	n.s.	n.s.
Crat	n.s.	n.s.
Crb2	n.s.	n.s.
Crb3	n.s.	n.s.
Crbn	n.s.	n.s.
Crcp	n.s.	n.s.
Creb1	n.s.	n.s.
Creb3	n.s.	n.s.
Creb3l1	n.s.	n.s.
Creb3l2	n.s.	n.s.
Creb3l3	n.s.	n.s.
Creb3l4	n.s.	n.s.
Creb5	n.s.	n.s.
Crebbp	n.s.	n.s.
Crebl2	n.s.	n.s.
Crebrf	n.s.	n.s.
Crebzf	n.s.	n.s.
Creg1	n.s.	n.s.
Creld1	n.s.	n.s.
Creld2	n.s.	n.s.
Crem	n.s.	n.s.
Crhr2	n.s.	n.s.
Crim1	n.s.	Up
Crip1	n.s.	n.s.
Crip2	n.s.	n.s.
Cript	n.s.	n.s.
Crispld1	n.s.	n.s.
Crispld2	n.s.	n.s.
Crk	n.s.	n.s.
Crkl	n.s.	n.s.
Crlf1	n.s.	n.s.
Crlf2	n.s.	n.s.
Crlf3	n.s.	n.s.
Crls1	n.s.	n.s.
Crnde	n.s.	n.s.
Crnkl1	n.s.	n.s.
Crocc	n.s.	n.s.
Crot	n.s.	n.s.
Crtap	n.s.	n.s.
Crtc1	n.s.	n.s.
Crtc2	n.s.	n.s.
Crtc3	n.s.	n.s.
Crxos	n.s.	n.s.
Cry1	n.s.	n.s.
Cry2	n.s.	n.s.
Cryaa	n.s.	n.s.
Cryab	n.s.	n.s.
Crybb3	n.s.	n.s.
Crybg1	n.s.	n.s.
Crybg2	n.s.	n.s.
Crybg3	n.s.	n.s.
Cryl1	n.s.	n.s.
Cryz	n.s.	n.s.
Cryzl1	n.s.	n.s.
Cryzl2	n.s.	n.s.
Cs	n.s.	n.s.
Csad	n.s.	n.s.
Csdc2	n.s.	n.s.
Csde1	n.s.	n.s.
Cse1l	n.s.	n.s.
Csf1	n.s.	n.s.
Csf1r	n.s.	n.s.
Csf2ra	n.s.	n.s.
Csf2rb	n.s.	n.s.
Csf2rb2	n.s.	n.s.
Csf3r	n.s.	n.s.
Csgalnact1	n.s.	n.s.
Csgalnact2	n.s.	n.s.
Csk	n.s.	n.s.
Csmd2	n.s.	n.s.
Csn3	n.s.	n.s.
Csnk1a1	n.s.	n.s.
Csnk1d	n.s.	n.s.
Csnk1e	n.s.	n.s.
Csnk1g1	n.s.	n.s.
Csnk1g2	n.s.	n.s.
Csnk1g3	n.s.	n.s.
Csnk2a1	n.s.	n.s.
Csnk2a2	n.s.	n.s.
Csnk2b	n.s.	n.s.
Cspg4	n.s.	n.s.
Cspg5	n.s.	n.s.
Cspp1	n.s.	n.s.
Csrnp1	n.s.	n.s.
Csrnp2	n.s.	n.s.
Csrp1	n.s.	n.s.
Csrp2	n.s.	n.s.
Cst3	n.s.	n.s.
Cst7	n.s.	n.s.
Cstad	n.s.	n.s.
Cstb	n.s.	n.s.
Cstf1	n.s.	n.s.
Cstf2	n.s.	n.s.
Cstf2t	n.s.	n.s.
Cstf3	n.s.	n.s.
Ctbp1	n.s.	n.s.
Ctbp2	n.s.	n.s.
Ctbs	n.s.	n.s.
Ctc1	n.s.	n.s.
Ctcf	n.s.	n.s.
Ctcfl	n.s.	n.s.
Ctdnep1	n.s.	n.s.
Ctdp1	n.s.	n.s.
Ctdsp1	n.s.	n.s.
Ctdsp2	n.s.	n.s.
Ctdspl	n.s.	n.s.
Ctdspl2	n.s.	n.s.
Ctgf	n.s.	n.s.
Ctif	n.s.	n.s.
Ctla2a	n.s.	n.s.
Ctla2b	n.s.	n.s.
Ctnna1	n.s.	n.s.
Ctnna2	n.s.	n.s.
Ctnna3	n.s.	n.s.
Ctnnal1	n.s.	n.s.
Ctnnb1	n.s.	n.s.
Ctnnbip1	n.s.	n.s.
Ctnnbl1	n.s.	n.s.
Ctnnd1	n.s.	n.s.
Ctnnd2	n.s.	n.s.
Ctns	n.s.	n.s.
Ctps	n.s.	n.s.
Ctps2	n.s.	n.s.
Ctr9	n.s.	n.s.
Ctrb1	n.s.	n.s.
Ctrl	n.s.	n.s.
Ctsa	n.s.	n.s.
Ctsb	n.s.	n.s.
Ctsc	n.s.	n.s.
Ctsd	n.s.	n.s.
Ctse	n.s.	n.s.
Ctsf	n.s.	n.s.
Ctsh	n.s.	n.s.
Ctsk	n.s.	n.s.
Ctsl	n.s.	n.s.
Ctso	n.s.	n.s.
Ctss	n.s.	n.s.
Ctsw	n.s.	n.s.
Ctsz	n.s.	n.s.
Cttn	n.s.	n.s.
Cttnbp2	n.s.	n.s.
Cttnbp2nl	n.s.	n.s.
Ctu1	n.s.	n.s.
Ctu2	n.s.	n.s.
Ctxn1	n.s.	n.s.
Cubn	n.s.	n.s.
Cuedc2	n.s.	n.s.
Cul1	n.s.	n.s.
Cul2	n.s.	n.s.
Cul3	n.s.	n.s.
Cul4a	n.s.	n.s.
Cul4b	n.s.	n.s.
Cul5	n.s.	n.s.
Cul7	n.s.	n.s.
Cul9	n.s.	n.s.
Cuta	n.s.	n.s.
Cux1	n.s.	n.s.
Cux2	n.s.	n.s.
Cuzd1	n.s.	n.s.
Cwc15	n.s.	n.s.
Cwc22	n.s.	n.s.
Cwc25	n.s.	n.s.
Cwc27	n.s.	n.s.
Cwf19l1	n.s.	n.s.
Cwf19l2	n.s.	n.s.
Cwh43	n.s.	n.s.
Cx3cl1	Up	Up
Cx3cr1	n.s.	n.s.
Cxadr	n.s.	n.s.
Cxcl1	n.s.	n.s.
Cxcl10	n.s.	n.s.
Cxcl12	n.s.	n.s.
Cxcl13	n.s.	n.s.
Cxcl14	n.s.	n.s.
Cxcl15	n.s.	n.s.
Cxcl16	n.s.	n.s.
Cxcl17	n.s.	n.s.
Cxcl2	n.s.	n.s.
Cxcl5	n.s.	n.s.
Cxcl9	n.s.	n.s.
Cxcr3	n.s.	n.s.
Cxcr4	n.s.	n.s.
Cxcr6	n.s.	n.s.
Cxxc1	n.s.	n.s.
Cxxc4	n.s.	n.s.
Cxxc5	n.s.	n.s.
Cyb561	n.s.	n.s.
Cyb561a3	n.s.	n.s.
Cyb561d1	n.s.	n.s.
Cyb561d2	n.s.	n.s.
Cyb5a	n.s.	n.s.
Cyb5b	n.s.	n.s.
Cyb5d1	n.s.	n.s.
Cyb5d2	n.s.	n.s.
Cyb5r1	n.s.	n.s.
Cyb5r2	n.s.	n.s.
Cyb5r3	n.s.	n.s.
Cyb5r4	n.s.	n.s.
Cyb5rl	n.s.	n.s.
Cyba	n.s.	n.s.
Cybb	n.s.	n.s.
Cybrd1	n.s.	Down
Cyc1	n.s.	n.s.
Cycs	n.s.	n.s.
Cyfip1	n.s.	n.s.
Cyfip2	n.s.	Up
Cygb	n.s.	n.s.
Cyhr1	n.s.	n.s.
Cyld	n.s.	n.s.
Cym	n.s.	n.s.
Cyp1a1	n.s.	n.s.
Cyp1b1	n.s.	n.s.
Cyp20a1	n.s.	n.s.
Cyp26b1	Up	Up
Cyp27a1	n.s.	n.s.
Cyp27b1	n.s.	n.s.
Cyp2b10	n.s.	n.s.
Cyp2c23	n.s.	n.s.
Cyp2c65	n.s.	n.s.
Cyp2d12	n.s.	n.s.
Cyp2d22	n.s.	n.s.
Cyp2f2	n.s.	n.s.
Cyp2j6	n.s.	n.s.
Cyp2j9	n.s.	n.s.
Cyp2r1	n.s.	n.s.
Cyp2s1	n.s.	n.s.
Cyp2t4	n.s.	n.s.
Cyp2u1	n.s.	n.s.
Cyp39a1	n.s.	n.s.
Cyp3a13	n.s.	n.s.
Cyp46a1	n.s.	n.s.
Cyp4a14	n.s.	n.s.
Cyp4b1	n.s.	n.s.
Cyp4f13	n.s.	n.s.
Cyp4f16	n.s.	n.s.
Cyp4f17	n.s.	n.s.
Cyp4f18	n.s.	n.s.
Cyp4f39	n.s.	n.s.
Cyp4v3	n.s.	n.s.
Cyp51	n.s.	n.s.
Cyp7b1	n.s.	n.s.
Cyp8b1	n.s.	n.s.
Cyr61	n.s.	n.s.
Cys1	n.s.	n.s.
Cysltr1	n.s.	n.s.
Cysltr2	n.s.	n.s.
Cystm1	n.s.	n.s.
CYTB	n.s.	n.s.
Cyth1	n.s.	n.s.
Cyth2	n.s.	n.s.
Cyth3	n.s.	n.s.
Cyth4	n.s.	n.s.
Cytip	n.s.	n.s.
Cyyr1	n.s.	n.s.
D030025P21Rik	n.s.	n.s.
D030028A08Rik	n.s.	n.s.
D030040B21Rik	n.s.	n.s.
D030056L22Rik	n.s.	n.s.
D10Jhu81e	n.s.	n.s.
D10Wsu102e	n.s.	n.s.
D11Wsu47e	n.s.	n.s.
D130020L05Rik	n.s.	n.s.
D130040H23Rik	n.s.	n.s.
D16Ertd472e	n.s.	n.s.
D17H6S53E	n.s.	n.s.
D17Wsu92e	n.s.	n.s.
D1Ertd622e	n.s.	n.s.
D230025D16Rik	n.s.	n.s.
D2hgdh	n.s.	n.s.
D330041H03Rik	n.s.	n.s.
D330045A20Rik	n.s.	n.s.
D3Ertd254e	n.s.	n.s.
D3Ertd751e	n.s.	n.s.
D430019H16Rik	n.s.	n.s.
D430036J16Rik	n.s.	n.s.
D430041D05Rik	n.s.	n.s.
D430042O09Rik	n.s.	n.s.
D5Ertd579e	n.s.	n.s.
D630003M21Rik	n.s.	n.s.
D630024D03Rik	n.s.	n.s.
D630029K05Rik	n.s.	n.s.
D630039A03Rik	n.s.	n.s.
D630045J12Rik	n.s.	n.s.
D6Wsu163e	n.s.	n.s.
D7Ertd443e	n.s.	n.s.
D8Ertd738e	n.s.	n.s.
D930015M05Rik	n.s.	n.s.
D930016D06Rik	n.s.	n.s.
D930020B18Rik	n.s.	n.s.
D930032P07Rik	n.s.	n.s.
Daam1	n.s.	Up
Daam2	n.s.	n.s.
Dab1	n.s.	n.s.
Dab2	n.s.	n.s.
Dab2ip	n.s.	n.s.
Dach1	n.s.	n.s.
Dach2	n.s.	n.s.
Dact1	n.s.	n.s.
Dact2	n.s.	n.s.
Dact3	n.s.	n.s.
Dad1	n.s.	n.s.
Dag1	n.s.	n.s.
Dagla	n.s.	n.s.
Daglb	n.s.	n.s.
Dalrd3	n.s.	n.s.
Dancr	n.s.	n.s.
Dand5	n.s.	n.s.
Dap	n.s.	n.s.
Dap3	n.s.	n.s.
Dapk1	n.s.	n.s.
Dapk2	n.s.	n.s.
Dapk3	n.s.	n.s.
Dapp1	n.s.	n.s.
Dars	n.s.	n.s.
Dars2	n.s.	n.s.
Daxx	n.s.	n.s.
Dazap1	n.s.	n.s.
Dazap2	n.s.	n.s.
Dbf4	n.s.	n.s.
Dbi	n.s.	n.s.
Dbn1	n.s.	n.s.
Dbndd1	n.s.	n.s.
Dbndd2	n.s.	n.s.
Dbnl	n.s.	n.s.
Dbp	n.s.	n.s.
Dbr1	n.s.	n.s.
Dbt	n.s.	n.s.
Dcaf1	n.s.	n.s.
Dcaf10	n.s.	n.s.
Dcaf11	n.s.	n.s.
Dcaf12	n.s.	n.s.
Dcaf12l1	n.s.	n.s.
Dcaf12l2	n.s.	n.s.
Dcaf13	n.s.	n.s.
Dcaf15	n.s.	n.s.
Dcaf17	n.s.	n.s.
Dcaf4	n.s.	n.s.
Dcaf5	n.s.	n.s.
Dcaf6	n.s.	n.s.
Dcaf7	n.s.	n.s.
Dcaf8	n.s.	n.s.
Dcakd	n.s.	n.s.
Dcbld1	n.s.	n.s.
Dcbld2	n.s.	n.s.
Dcdc2a	n.s.	n.s.
Dcdc2b	n.s.	n.s.
Dchs1	n.s.	n.s.
Dck	n.s.	n.s.
Dclk1	n.s.	n.s.
Dclk2	n.s.	n.s.
Dclk3	n.s.	n.s.
Dclre1a	n.s.	n.s.
Dclre1b	n.s.	n.s.
Dclre1c	n.s.	n.s.
Dcn	n.s.	Down
Dcp1a	n.s.	n.s.
Dcp1b	n.s.	n.s.
Dcp2	n.s.	n.s.
Dcps	n.s.	n.s.
Dcst1	n.s.	n.s.
Dctn1	n.s.	n.s.
Dctn2	n.s.	n.s.
Dctn3	n.s.	n.s.
Dctn4	n.s.	n.s.
Dctn5	n.s.	n.s.
Dctn6	n.s.	n.s.
Dctpp1	n.s.	n.s.
Dcun1d1	n.s.	n.s.
Dcun1d2	n.s.	n.s.
Dcun1d3	n.s.	n.s.
Dcun1d4	n.s.	n.s.
Dcun1d5	n.s.	n.s.
Dcxr	n.s.	n.s.
Dda1	n.s.	n.s.
Ddah1	n.s.	Up
Ddah2	n.s.	n.s.
Ddb1	n.s.	n.s.
